date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:40	3297/3297	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2019:23:40%20GMT	https://walletconnect.com/robots.txt		(from )
20:23:40	54712/54712	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jun%202023%2019:23:40%20GMT	https://walletconnect.com/	C:/My%20Web%20Sites/walletconn/walletconnect.com/index.html	(from )
20:23:41	3960/3960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228e80199e24805c54ed00a46d6bfc369f%22	https://walletconnect.com/images/logo.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/logo.svg	(from https://walletconnect.com/)
20:23:47	756/756	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221119f9f30c857c76c5773152dfc2de54%22	https://walletconnect.com/_next/static/media/logo_mark.84dd8525.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/logo_mark.84dd8525.svg	(from https://walletconnect.com/)
20:23:47	466795/466795	---M--	200	added ('OK')	image/jpeg	etag:%22a536022d5e99defd0b880ef8004324aa%22	https://walletconnect.com/_next/static/media/hero.438e58ae.jpeg	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/hero.438e58ae.jpg	(from https://walletconnect.com/)
20:23:51	116244/116244	---M--	200	added ('OK')	image/jpeg	etag:%22930c3a635260d286928d9d36ea444d7b%22	https://walletconnect.com/meta/social-card.jpg	C:/My%20Web%20Sites/walletconn/walletconnect.com/meta/social-card.jpg	(from https://walletconnect.com/)
20:23:52	4286/4286	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%220c666db3fef9f693465e4b790eabdd97%22	https://walletconnect.com/meta/favicon.ico	C:/My%20Web%20Sites/walletconn/walletconnect.com/meta/favicon.ico	(from https://walletconnect.com/)
20:23:52	1346/1346	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20Jun%202023%2019:23:51%20GMT	https://walletconnect.com/collect/script	C:/My%20Web%20Sites/walletconn/walletconnect.com/collect/script	(from https://walletconnect.com/)
20:23:52	17058/17058	---MCZ	200	added ('OK')	text/css	etag:W/%222ded9dbed784e27588e3cae750667e99%22	https://walletconnect.com/_next/static/css/7bb3b62d767bfda0.css	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/css/7bb3b62d767bfda0.css	(from https://walletconnect.com/)
20:23:52	18249/18249	---MCZ	200	added ('OK')	text/css	etag:W/%229f8f713fe94fda2ae4393eda6cbb2217%22	https://walletconnect.com/_next/static/css/288b744995377af0.css	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/css/288b744995377af0.css	(from https://walletconnect.com/)
20:23:53	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d8cf294575c1872cb31422c27541885%22	https://walletconnect.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://walletconnect.com/)
20:23:53	1429/1429	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267e380e41146104819277e3c79093b69%22	https://walletconnect.com/_next/static/chunks/webpack-7ee66019f7f6d30f.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/webpack-7ee66019f7f6d30f.js	(from https://walletconnect.com/)
20:23:54	141509/141509	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b9a4dcce921863360ed1e9f23a840680%22	https://walletconnect.com/_next/static/chunks/framework-9b5d6ec4444c80fa.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/framework-9b5d6ec4444c80fa.js	(from https://walletconnect.com/)
20:23:54	103582/103582	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bf1c5967dae3c2759162d6caf9259c5e%22	https://walletconnect.com/_next/static/chunks/main-bc91bb9ee6775776.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/main-bc91bb9ee6775776.js	(from https://walletconnect.com/)
20:23:54	62461/62461	---MCZ	200	added ('OK')	application/javascript	etag:W/%226ab171476796597d2f2374407c017b8b%22	https://walletconnect.com/_next/static/chunks/pages/_app-26e20a66e78385fe.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/pages/_app-26e20a66e78385fe.js	(from https://walletconnect.com/)
20:23:54	11770/11770	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299eb5b2339f55686fab86f1bdd077654%22	https://walletconnect.com/_next/static/chunks/962-d4f231a9c802ed66.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/962-d4f231a9c802ed66.js	(from https://walletconnect.com/)
20:23:55	89085/89085	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ba55123f57fd576d743fd96ec7f23de%22	https://walletconnect.com/_next/static/chunks/847-f7d84af3cf036d73.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/847-f7d84af3cf036d73.js	(from https://walletconnect.com/)
20:23:55	30688/30688	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab776824b881cee610ce15dcb0c15912%22	https://walletconnect.com/_next/static/chunks/pages/index-0fd75b789abf654d.js	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/chunks/pages/index-0fd75b789abf654d.js	(from https://walletconnect.com/)
